id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation,total_places,budget_ratio,tuition_log,paid_min_score_missing,budget_score_missing,cluster_raw,competitiveness_class
39,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,"Институт математики, механики и компьютерных наук им. И.И. Воровича ЮФУ",Бакалавриат,Южный федеральный университет,Ростов-на-..,,5.0,159000.0,,150.0,0.0,Очная,Русский,государственный,,0.0,11.976665770490767,0,0,0,0
40,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт компьютерных наук и технологий ПГНИУ,Бакалавриат,Пермский государственный национальный исследовательский университет,Пермь,58.0,,,183.0,,0.0,Очная,Русский,государственный,,0.0,,0,0,0,0
41,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт математики и информационных технологий ИГУ,Бакалавриат,Иркутский государственный университет,Иркутск,25.0,25.0,192500.0,164.0,,0.0,Очная,Русский,государственный,50.0,0.5,12.167856627501678,0,0,0,0
42,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт прикладной математики и компьютерных наук ТГУ,Бакалавриат,Национальный исследовательский Томский государственный университет,Томск,59.0,15.0,177000.0,226.0,,0.0,Очная,Русский,государственный,74.0,0.7972972972972973,12.083910661257521,0,0,0,0
43,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Институт математики и информационных технологий ОГУ,Бакалавриат,Оренбургский государственный университет,Оренбург,20.0,100.0,153000.0,181.0,119.0,0.0,Очная,Русский,государственный,120.0,0.16666666666666666,11.938199736300925,0,0,2,1
44,02.03.02 | Фундаментальные информатика и информационные технологии,Фундаментальная информатика и информационные технологии,Высшая школа компьютерных наук и искусственного интеллекта БФУ им. И. Канта,Бакалавриат,Балтийский федеральный университет имени Иммануила Канта,Калинингра..,30.0,10.0,151500.0,210.0,147.0,0.0,Очная,Русский,государственный,40.0,0.75,11.928347504569842,0,0,0,0
45,01.03.01 | Математика,Математический анализ и его приложения,Механико-математический факультет НГУ,Бакалавриат,Новосибирский национальный исследовательский государственный университет,Новосибирс..,6.0,2.0,210000.0,222.0,,0.0,Очная,Русский,государственный,8.0,0.75,12.25486757159303,0,0,0,0
46,01.03.01 | Математика,Математический анализ и его приложения,Институт математики и фундаментальной информатики СФУ,Бакалавриат,Сибирский федеральный университет,Красноярск,20.0,2.0,222000.0,191.0,,0.0,Очная,Русский,государственный,22.0,0.9090909090909091,12.310437165348775,0,0,0,0
47,01.03.01 | Математика,Математические основы компьютерных наук,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,12.0,10.0,140700.0,113.0,119.0,0.0,Очная,Русский,государственный,22.0,0.5454545454545454,11.854392350397763,0,0,0,0
48,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет вычислительной математики и кибернетики МГУ,Бакалавриат,Московский государственный университет имени М.В. Ломоносова,Москва,104.0,40.0,512810.0,423.0,300.0,0.0,Очная,Русский,государственный,144.0,0.7222222222222222,13.147662635216566,0,0,1,2
49,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт искусственного интеллекта РТУ МИРЭА,Бакалавриат,МИРЭА - Российский технологический университет,Москва,30.0,150.0,299000.0,273.0,,0.0,Очная,Русский,государственный,180.0,0.16666666666666666,12.608202196848836,0,0,1,2
50,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт искусственного интеллекта РТУ МИРЭА,Бакалавриат,МИРЭА - Российский технологический университет,Москва,,15.0,299000.0,,160.0,0.0,Очная,Русский,государственный,,0.0,12.608202196848836,0,0,0,0
51,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-механический институт СПбПУ,Бакалавриат,Санкт-Петербургский политехнический университет Петра Великого,Санкт-Пете..,26.0,8.0,302000.0,271.0,,0.0,Очная,Русский,государственный,34.0,0.7647058823529411,12.618185607609803,0,0,0,0
52,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,"Институт математики, информационных технологий и физики УдГУ",Бакалавриат,Удмуртский государственный университет,Ижевск,20.0,10.0,140700.0,172.0,,0.0,Очная,Русский,государственный,30.0,0.6666666666666666,11.854392350397763,0,0,0,0
53,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт математики и компьютерных технологий ДВФУ,Бакалавриат,Дальневосточный федеральный университет,Владивосто..,50.0,5.0,248000.0,192.0,,0.0,Очная,Русский,государственный,55.0,0.9090909090909091,12.421188057397055,0,0,0,0
54,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-математический факультет БГУ,Бакалавриат,Брянский государственный университет имени академика И.Г. Петровского,Брянск,17.0,15.0,144540.0,210.0,,0.0,Очная,Русский,государственный,32.0,0.53125,11.881318483313109,0,0,0,0
55,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Физико-математический факультет КЧГУ имени У.Д. Алиева,Бакалавриат,Карачаево-Черкесский государственный университет имени У.Д. Алиева,Карачаевск,36.0,10.0,134000.0,139.0,119.0,0.0,Очная,Русский,государственный,46.0,0.782608695652174,11.80560254159177,0,0,0,0
56,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Институт естественных наук и техносферной безопасности СахГУ,Бакалавриат,Сахалинский государственный университет,Южно-Сахал..,25.0,25.0,307350.0,161.0,,0.0,Очная,Русский,государственный,50.0,0.5,12.635745695949515,0,0,0,0
57,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Естественно-научный институт ДВГУПС,Бакалавриат,Дальневосточный государственный университет путей сообщения,Хабаровск,25.0,5.0,204600.0,177.0,,0.0,Очная,Русский,государственный,30.0,0.8333333333333334,12.22881702007325,0,0,0,0
58,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет компьютерных технологий и энергетики ДГТУ в г. Махачкала,Бакалавриат,Дагестанский государственный технический университет,Махачкала,12.0,2.0,106410.0,184.0,,0.0,Очная,Русский,государственный,14.0,0.8571428571428571,11.575064234004627,0,0,0,0
59,01.03.02 | Прикладная математика и информатика,Системное программирование и компьютерные технологии,Факультет СФТИ НИЯУ МИФИ,Бакалавриат,Снежинский физико-технический институт (филиал НИЯУ МИФИ),Снежинск,,5.0,154340.0,,119.0,0.0,Очная,Русский,государственный,,0.0,11.946919719192367,0,0,2,1
60,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Факультет Фундаментальные науки(ФН),Бакалавриат,Московский государственный технический университет им. Н.Э. Баумана,Москва,36.0,52.0,399000.0,271.0,135.0,0.0,Очная,Русский,государственный,88.0,0.4090909090909091,12.896719202134523,0,0,1,2
61,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Механико-математический факультет НГУ,Бакалавриат,Новосибирский национальный исследовательский государственный университет,Новосибирс..,8.0,3.0,210000.0,222.0,,0.0,Очная,Русский,государственный,11.0,0.7272727272727273,12.25486757159303,0,0,0,0
62,01.03.03 | Механика и математическое моделирование,Математическое моделирование и компьютерный инжиниринг,Институт естественных и точных наук ЮУрГУ,Бакалавриат,Южно-Уральский государственный университет (национальный исследовательский университет),Челябинск,20.0,3.0,150600.0,205.0,119.0,0.0,Очная,Русский,государственный,23.0,0.8695652173913043,11.922389234432126,0,0,0,0
